№	Код параметра	Наименование параметра настройки	Тип	Значение	Наименование модуля	№ модуля
1	R0UR01RIM  (ЭСППЗУ)	Стартовая отрицательная реактивность	Вещ.	27.108	FSUBO - Модуль вычитания вещественных параметров	8 MODEL
2	R0UR30RIM  (ЭСППЗУ)	Реактивность вносимая образцами (долл)	Вещ.	0.0	AZBARS - Модель реактора (точечная)	14 MODEL
3	R8AD10LC1  (ЭСППЗУ)	Установить аварийный НИ от ИС	Лог.	1	AZBARS - Модель реактора (точечная)	14 MODEL
4	R0UL01RIM  (ЭСППЗУ)	Среднее время генерации нейтронов	Вещ.	0.015	AZBARS - Модель реактора (точечная)	14 MODEL
5	R0UN02RIM  (ЭСППЗУ)	Доля запаздывающих нейтронов в общем количестве нейтронов	Вещ.	0.0069	AZBARS - Модель реактора (точечная)	14 MODEL
6	R0UT01RIM  (ЭСППЗУ)	Температурный коэффициент (долл)	Вещ.	0.0026	AZBARS - Модель реактора (точечная)	14 MODEL
7	R0UT02RIM  (ЭСППЗУ)	Масса топлива в АЗ	Вещ.	106	AZBARS - Модель реактора (точечная)	14 MODEL
8	R0UT04RIM  (ЭСППЗУ)	Удельная теплоёмкость топлива	Вещ.	135.227	AZBARS - Модель реактора (точечная)	14 MODEL
9	R0UT05RIM  (ЭСППЗУ)	Энергия деления ядра	Вещ.	320.435466	AZBARS - Модель реактора (точечная)	14 MODEL
10	R0UH05RSS  (ЭСППЗУ)	Кол-во делений/сек на 1 ватт * E^6	Вещ.	32000.0	AZBARS - Модель реактора (точечная)	14 MODEL
11	A0UN02RIM  (ЭСППЗУ)	Мощность источника нейтронов с АНИ	Вещ.	0.08	AZBARS - Модель реактора (точечная)	14 MODEL
12	A0UN01RIM  (ЭСППЗУ)	Мощность источника нейтронов ИНИ	Вещ.	1E12	AZBARS - Модель реактора (точечная)	14 MODEL
13	A1UR00RIM  (ЭСППЗУ)	Коэффициент-0 функции реактивности вносимой ББ (долл)	Вещ.	0	AZBARS - Модель реактора (точечная)	14 MODEL
14	A1UR01RIM  (ЭСППЗУ)	Коэффициент-1 функции реактивности вносимой ББ (долл)	Вещ.	0.21	AZBARS - Модель реактора (точечная)	14 MODEL
